,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
383,sobolevo,93,RU,1578337230,85,54.43,31.9,26.13,8.46
384,vostok,100,RU,1578337231,82,46.45,135.83,4.59,2.55
385,bani,0,YE,1578337231,73,16.02,42.93,79.29,11.12
386,palu,100,ID,1578337231,96,-0.9,119.87,68.25,1.66
387,mombasa,20,KE,1578337231,83,-4.05,39.67,82.4,5.82
388,waidhofen,90,DE,1578337232,92,48.58,11.34,34.0,1.12
389,bambous virieux,75,MU,1578337232,94,-20.26,57.41,80.6,2.13
390,taoudenni,71,ML,1578337232,12,22.68,-3.98,63.9,8.72
391,rovnoye,100,RU,1578337232,97,50.78,46.06,33.42,5.41
392,avera,1,US,1578337232,45,33.19,-82.53,64.0,8.05
393,grand centre,0,FR,1578337232,90,48.39,5.49,37.4,5.82
394,kaeo,100,NZ,1578337232,91,-35.1,173.78,60.01,1.99
395,minas novas,75,UY,1578337233,64,-34.38,-55.24,73.4,21.92
396,caxito,75,BR,1578337233,79,-22.65,-42.51,84.2,3.36
397,makasar,40,ID,1578337233,88,-6.28,106.88,80.01,4.7
398,kabare,98,RW,1578337233,96,-1.65,29.38,52.39,1.19
399,wencheng,86,CN,1578337233,96,27.79,120.09,58.26,3.4
400,morondava,24,MG,1578337233,75,-20.3,44.28,81.14,3.67
401,cabrero,75,CL,1578337233,33,-37.04,-72.4,73.4,5.82
402,mandalgovi,0,MN,1578337234,77,45.76,106.27,5.95,4.74
403,naze,95,NG,1578337234,31,5.43,7.07,85.89,2.57
404,chernigovka,100,RU,1578337234,94,44.34,132.57,8.65,4.36
405,tam ky,81,NE,1578337234,24,13.13,12.14,70.45,13.15
406,mulege,0,MX,1578337234,43,26.88,-111.98,67.82,10.27
407,bam,2,IR,1578337235,41,29.11,58.36,52.36,8.86
408,iberia,52,PE,1578337235,49,-11.41,-69.49,88.25,5.82
409,wladyslawowo,90,PL,1578337141,93,54.79,18.4,39.0,6.93
410,octeville,75,FR,1578337235,100,49.63,-1.64,53.01,17.22
411,necochea,0,AR,1578337235,57,-38.55,-58.74,72.0,18.01
412,iralaya,75,HN,1578337236,94,15.0,-83.23,77.0,11.41
413,salinopolis,78,BR,1578337236,82,-0.61,-47.36,81.23,15.1
414,wellington,17,NZ,1578337236,67,-41.29,174.78,57.2,4.7
415,peniche,29,PT,1578337237,81,39.36,-9.38,53.01,2.24
416,autun,0,FR,1578337237,86,46.95,4.3,35.01,3.36
417,filimonovo,79,RU,1578337237,88,54.21,39.6,28.0,1.99
418,half moon bay,3,LR,1578337237,62,6.38,-10.7,86.0,4.7
419,hambantota,20,LK,1578337237,100,6.12,81.12,77.0,6.93
420,svencionys,100,LT,1578337237,97,55.15,26.17,34.45,7.05
421,cacapava do sul,75,BR,1578337204,83,-23.1,-45.71,82.4,8.05
422,inirida,15,CO,1578337238,37,3.87,-67.92,95.0,2.17
423,sandanski,8,BG,1578337238,68,41.57,23.28,39.99,3.0
424,faya,0,SA,1578337238,87,18.39,42.45,59.0,5.82
425,jinchang,100,CN,1578337238,53,38.52,102.19,18.12,2.37
426,khani,58,GE,1578337239,43,41.96,42.96,50.0,19.46
427,dharchula,100,IN,1578337239,98,29.85,80.53,29.44,1.79
428,hondo,1,US,1578337144,42,29.35,-99.14,73.0,9.17
429,alugan,62,PH,1578337239,86,12.22,125.48,79.11,12.57
430,severo-yeniseyskiy,90,RU,1578337239,92,60.37,93.04,10.94,8.81
431,port hardy,84,CD,1578337194,63,-7.04,29.76,78.62,3.47
432,price,1,US,1578337240,85,39.6,-110.81,33.01,3.42
433,ahtopol,40,BG,1578337240,60,42.1,27.94,39.2,27.51
434,goba,37,ET,1578337240,86,7.01,39.97,52.02,0.16
435,mount isa,20,GB,1578337240,87,53.66,-1.85,48.2,18.34
436,shingu,1,JP,1578337240,57,33.72,135.99,48.6,5.77
437,atherton,40,AU,1578337240,94,-17.27,145.48,79.0,6.93
438,kruisfontein,100,ZA,1578337240,85,-34.0,24.73,65.01,5.91
439,vaitape,33,PF,1578337241,79,-16.52,-151.75,81.48,15.5
440,baghdad,0,IQ,1578337217,62,33.3,44.38,53.6,3.36
441,cotonou,10,BJ,1578337241,58,6.37,2.43,82.4,6.93
442,salisbury,20,GB,1578337241,93,51.07,-1.8,48.99,9.17
443,nsoko,83,ZA,1578337241,58,-27.07,31.93,84.2,12.75
444,ponta delgada,14,BR,1578337241,41,-0.53,-65.05,96.37,4.85
445,pryazha,99,RU,1578337242,92,61.69,33.62,30.2,8.95
446,syracuse,75,US,1578337007,64,43.05,-76.15,39.0,12.75
447,namatanai,40,PG,1578337242,76,-3.66,152.44,83.62,7.38
448,beringovskiy,12,RU,1578337242,86,63.05,179.32,-10.35,12.68
449,klaksvik,85,FO,1578337242,75,62.23,-6.59,42.8,18.34
450,luganville,90,VU,1578337242,94,-15.51,167.18,77.0,2.24
451,klyuchi,0,RU,1578337243,90,52.25,79.17,6.71,1.52
452,warrnambool,14,AU,1578337243,93,-38.38,142.48,57.99,7.07
453,northam,0,AU,1578337243,72,-31.65,116.67,64.99,5.82
454,joura,100,IN,1578337243,61,26.34,77.81,59.04,5.7
455,ambilobe,100,MG,1578337243,86,-13.19,49.05,78.39,4.79
456,padang,89,ID,1578337243,92,-0.92,100.36,68.09,4.36
457,lakes entrance,1,US,1578337244,52,37.5,-83.94,46.4,2.82
458,brandfort,85,ZA,1578337244,41,-28.7,26.46,75.2,21.92
459,yarada,75,IN,1578337244,83,17.65,83.27,73.4,4.7
460,coahuayana,0,MX,1578337244,30,18.62,-100.35,87.04,3.22
461,vanimo,63,PG,1578337244,82,-2.67,141.3,82.67,11.16
462,cidreira,15,BR,1578337244,81,-30.17,-50.22,76.55,13.87
463,osmena,48,PH,1578337245,85,12.17,124.59,78.08,12.86
464,mabaruma,14,GY,1578337245,46,8.2,-59.78,88.72,4.09
465,igarka,99,RU,1578337245,91,67.47,86.57,5.36,11.05
466,mitsamiouli,20,KM,1578337245,79,-11.38,43.28,84.2,4.7
467,saurimo,100,AO,1578337246,88,-9.66,20.4,69.22,1.95
468,fengrun,100,CN,1578337246,64,39.83,118.12,27.79,6.51
469,russell,1,US,1578337144,56,38.9,-98.86,48.0,14.99
470,zlobin,0,HR,1578337246,35,45.29,14.65,41.0,10.29
471,falun,91,SE,1578337246,93,60.61,15.63,42.01,9.17
472,dwarka,75,IN,1578337246,87,28.58,77.04,63.0,5.82
473,brae,100,GB,1578337071,87,60.4,-1.35,48.2,23.04
474,stephenville,90,CA,1578336977,79,48.55,-58.59,23.0,8.05
475,vila franca do campo,0,IT,1578337228,100,45.18,8.4,39.0,5.82
476,itaguai,40,BR,1578337164,74,-22.85,-43.78,89.6,16.11
477,lekoni,18,GA,1578337247,44,-1.58,14.26,84.34,1.36
478,rodrigues alves,14,BR,1578337247,71,-24.07,-48.35,79.38,7.83
479,polunochnoye,0,RU,1578337247,79,60.87,60.43,11.57,8.25
480,maubin,20,MM,1578337248,83,16.73,95.65,75.2,6.93
481,daru,99,PG,1578337248,95,-9.07,143.21,75.9,2.24
482,tomball,75,US,1578337248,53,30.1,-95.62,73.99,10.29
483,epe,30,DE,1578337248,84,52.18,7.04,39.99,5.82
484,ottumwa,1,US,1578337248,51,41.02,-92.41,42.8,4.7
485,morant bay,40,JM,1578337249,66,17.9,-76.43,86.0,11.41
486,kahului,20,US,1578337249,64,20.89,-156.47,75.2,10.29
487,sorland,90,NO,1578337249,93,67.67,12.69,46.4,25.28
488,hasaki,40,JP,1578337249,69,35.73,140.83,37.4,8.05
489,nyurba,100,RU,1578337250,94,63.29,118.35,15.03,8.57
490,mbandaka,81,CD,1578337250,49,0.05,18.26,80.33,1.74
491,bangkalan,100,ID,1578337250,92,-7.05,112.74,76.01,6.53
492,byron bay,1,US,1578337250,42,32.65,-83.76,64.4,3.36
493,husavik,6,CA,1578337250,74,50.56,-96.99,27.0,5.01
494,paamiut,97,GL,1578337251,68,61.99,-49.67,1.72,13.29
495,camopi,68,GF,1578337251,43,3.17,-52.33,89.71,5.06
496,sayyan,21,YE,1578337251,43,15.17,44.32,58.77,3.98
497,high level,1,US,1578337251,47,33.61,-95.75,61.0,5.82
498,pevek,0,RU,1578337251,75,69.7,170.27,-8.36,5.53
499,san andres,53,ML,1578337173,12,13.3,-4.9,75.76,7.14
500,namibe,100,AO,1578337252,87,-15.19,12.15,72.99,11.65
501,moses lake,31,CI,1578337252,30,6.69,-8.48,84.65,0.22
502,moron,0,HT,1578337252,61,18.56,-74.26,82.13,15.21
503,panaba,3,MX,1578337253,54,21.28,-88.27,75.78,8.63
504,lata,100,IN,1578337253,98,30.78,78.62,18.39,4.63
505,balakhninskiy,97,RU,1578337253,83,58.01,114.28,0.27,2.3
506,tabuk,82,PH,1578337253,93,17.41,121.44,68.29,2.84
507,yumen,96,CN,1578337253,58,40.29,97.04,18.23,12.15
508,missungwi,40,TZ,1578337253,78,-2.85,33.08,73.4,3.09
509,snezhnogorsk,75,RU,1578337253,92,69.19,33.23,17.6,3.78
510,uvalde,1,US,1578337254,42,29.21,-99.79,72.0,4.7
511,bend,1,US,1578337213,60,44.06,-121.32,45.0,19.46
512,verkhnyaya inta,100,RU,1578337254,91,60.98,40.21,22.35,8.41
513,turukhansk,100,RU,1578337254,95,65.8,87.96,15.67,4.68
514,tutoia,20,BR,1578337254,66,-2.76,-42.27,87.8,16.11
515,comodoro rivadavia,80,BR,1578337254,81,-13.66,-59.79,80.4,5.68
516,gizo,0,IL,1578337255,66,31.8,34.94,53.6,6.93
517,deder,36,ET,1578337255,56,9.31,41.44,68.36,3.94
518,vondrozo,76,MG,1578337255,91,-22.82,47.32,74.98,2.17
519,kadoma,27,JP,1578337255,81,34.73,135.6,44.6,3.36
520,gamba,94,CN,1578337255,27,28.28,88.52,15.1,1.52
521,dehui,90,CN,1578337255,85,44.53,125.71,24.8,4.47
522,sao joao da barra,5,IN,1578337068,54,20.51,76.21,66.43,9.95
523,pacifica,1,US,1578337101,54,37.61,-122.49,55.99,5.17
524,talbahat,83,IN,1578337256,51,25.05,78.43,59.85,6.76
525,sretensk,45,RU,1578337256,99,52.24,117.7,-6.43,1.12
526,valleyview,30,CA,1578337255,85,55.07,-117.28,3.61,2.91
527,yarmouth,90,CA,1578337206,79,43.84,-66.12,27.0,5.1
528,kondagaon,0,IN,1578337257,66,19.59,81.66,57.7,2.3
529,diapaga,37,BF,1578337257,22,12.07,1.79,80.69,6.26
530,glendive,90,US,1578337257,80,47.11,-104.71,32.0,20.8
531,dudinka,58,RU,1578337257,92,69.41,86.18,10.4,22.37
532,san policarpo,53,ML,1578337195,12,13.3,-4.9,75.76,7.14
533,grindavik,75,IS,1578337257,69,63.84,-22.43,35.6,26.4
534,antofagasta,40,CL,1578337200,69,-23.65,-70.4,73.4,12.75
535,tongling,100,CN,1578337258,91,30.93,117.81,50.58,4.72
536,ban nahin,4,LA,1578337258,99,20.02,104.61,57.36,2.08
537,panguna,38,PG,1578337258,94,-6.32,155.48,71.67,2.15
538,green river,40,US,1578337258,60,40.95,-81.47,42.01,13.87
