,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,shimoda,63,JP,1578337177,64,34.7,138.93,46.99,1.01
88,marrakesh,0,MA,1578337177,51,31.63,-7.99,59.0,6.93
89,ixtapa,40,MX,1578337177,36,20.71,-105.21,78.8,2.8
90,roald,40,NO,1578337178,57,62.58,6.12,51.8,21.92
91,pisco,29,PE,1578337178,30,-13.71,-76.2,73.0,11.41
92,maceio,20,BR,1578337178,55,-9.67,-35.74,87.8,16.11
93,bayan,90,CN,1578337178,88,36.1,102.26,13.82,2.71
94,yelizovo,100,RU,1578337178,58,53.19,158.38,26.6,4.47
95,obo,0,CF,1578337178,31,5.39,26.49,76.5,2.82
96,hithadhoo,100,MV,1578337178,73,-0.6,73.08,84.2,11.83
97,komsomolskiy,100,RU,1578337179,93,67.55,63.78,8.64,18.12
98,lagoa santa,0,PT,1578337179,76,37.14,-8.45,57.0,2.24
99,kapaa,40,US,1578337179,83,22.08,-159.32,75.99,23.04
100,coquimbo,0,CL,1578336932,53,-29.95,-71.34,73.4,13.87
101,bagan,94,RU,1578337179,95,54.1,77.67,14.81,7.36
102,vega de alatorre,28,PH,1578337179,90,15.65,121.13,70.14,0.51
103,sola,93,TZ,1578337180,88,-3.17,33.8,66.94,4.81
104,morehead,1,US,1578337180,45,38.18,-83.43,44.6,5.82
105,miri,92,NG,1578337180,29,10.31,9.75,74.05,5.35
106,saldanha,77,PT,1578337180,80,41.42,-6.55,38.75,1.23
107,castro,75,CL,1578337031,71,-42.48,-73.76,57.2,11.41
108,baragua,18,CU,1578337180,59,21.7,-78.63,76.93,14.2
109,hobart,100,AU,1578337180,77,-42.88,147.33,59.0,6.93
110,anuradhapura,63,LK,1578337181,96,8.34,80.41,73.22,5.35
111,owando,13,CG,1578337181,50,-0.49,15.91,79.65,2.73
112,atuona,46,PF,1578337181,74,-9.8,-139.03,79.63,15.66
113,marawi,100,PH,1578337181,90,8.0,124.29,75.99,3.0
114,aksarka,49,RU,1578337181,84,66.56,67.8,8.64,13.49
115,yantongshan,99,CN,1578337182,96,43.28,126.02,21.51,3.89
116,avarua,15,CK,1578337182,88,-21.21,-159.78,80.6,2.24
117,barrhead,1,CA,1578337182,78,54.12,-114.4,15.8,3.36
118,maniitsoq,100,GL,1578337182,81,65.42,-52.9,-2.47,13.22
119,taikang,100,CN,1578337182,95,46.86,124.44,14.5,7.92
120,bar harbor,86,UA,1578337182,93,49.07,27.67,23.74,5.01
121,vao,100,EE,1578337183,97,59.1,26.19,35.87,6.62
122,hermanus,100,ZA,1578337183,75,-34.42,19.24,66.99,15.3
123,eisenerz,1,AT,1578337183,85,47.54,14.89,30.0,2.24
124,hay river,39,AU,1578337183,72,-34.51,144.84,65.55,12.71
125,rio gallegos,75,US,1578337183,59,41.11,-90.4,39.0,4.7
126,anse-bertrand,75,GP,1578337183,58,16.47,-61.51,82.4,13.87
127,hailar,99,CN,1578337183,96,49.2,119.7,7.92,4.68
128,cuiluan,100,CN,1578337184,85,47.72,128.65,13.33,3.0
129,sanming,0,CN,1578337184,94,26.24,117.6,55.49,3.06
130,bossangoa,77,CF,1578337184,26,6.5,17.45,79.05,2.59
131,hamilton,75,CA,1578336903,80,43.26,-79.87,37.99,20.8
132,ostrovnoy,98,RU,1578337184,95,68.05,39.51,14.5,11.07
133,amapa,75,HN,1578337185,69,15.09,-87.97,75.2,4.7
134,severo-kurilsk,100,RU,1578337185,84,50.68,156.12,24.53,15.35
135,longyearbyen,20,NO,1578337185,51,78.22,15.63,10.4,11.41
136,cabedelo,40,BR,1578337185,52,-6.97,-34.84,87.8,11.41
137,alice springs,100,ZA,1578337185,84,-32.79,26.83,66.87,9.71
138,ahipara,97,NZ,1578337186,91,-35.17,173.16,59.0,1.99
